Title;Image;Description;Genre;Duration;Date
Music Masters - John Adams;https://ichef.bbci.co.uk/images/ic/1200x675/p01504pb.jpg;The minimalist composer John Adams talks about his career to Charles Hazlewood. (2001);arts;49 mins;25 Jan 2001
War Requiem;https://ichef.bbci.co.uk/images/ic/1200x675/p01lb5zh.jpg;A performance of Benjamin Britten's War Requiem from the Royal Albert Hall. (1964);arts;91 mins;4 Aug 1964
The Sound and the Fury in Concert - Cage, Feldman, Reich, Monk, Part and Benjamin;https://ichef.bbci.co.uk/images/ic/1200x675/p01531my.jpg;Performances of works by five modern composers recorded in 2012.;arts;39 mins;26 Feb 2013
A Very British Murder with Lucy Worsley - 3. The Golden Age;https://ichef.bbci.co.uk/images/ic/1200x675/p01k0sxh.jpg;Lucy explores the Edwardian era and the golden age of detective fiction between the wars.;arts;59 mins;9pm 7 Oct 2013
Where We Live Now - 3. New Town, Home Town;https://ichef.bbci.co.uk/images/ic/1200x675/p01s49vz.jpg;Colin Ward sets out to discover the truth about Britain's New Towns. (1979);arts;58 mins;21 Feb 1979
Building Sights - Series 4: 6. Alton Estate;https://ichef.bbci.co.uk/images/ic/1200x675/p01rswlb.jpg;Sir Richard Rogers praises the Alton Housing Estate in Roehampton, south London. (1996);arts;9 mins;24 Aug 1997
A Passion For Churches;https://ichef.bbci.co.uk/images/ic/1200x675/p022kvf9.jpg;John Betjeman visits various churches in the Diocese of Norwich. (1974);arts;50 mins;7 Dec 1974
Summoned by Bells;https://ichef.bbci.co.uk/images/ic/1200x675/p022mrmn.jpg;John Betjeman recalls in vivid detail the agonies and the delights of growing up. (1976);arts;58 mins;29 Aug 1976
Vivienne Westwood Talks To Kirsty Wark;https://ichef.bbci.co.uk/images/ic/1200x675/p026vkks.jpg;Kirsty Wark interviews the fashion icon Vivienne Westwood. (2004);arts;29 mins;13 Apr 2004
Ex-S - Styling the Swan;https://ichef.bbci.co.uk/images/ic/1200x675/p026txrw.jpg;Jasper Conran designs the costumes for Swan Lake. (1995);arts;29 mins;28 Mar 1995
The Works - Series 3: Cutting Up Rough;https://ichef.bbci.co.uk/images/ic/1200x675/p026g9g7.jpg;The Works follows Alexander McQueen at London Fashion Week. (1997);arts;29 mins;20 Jul 1997
The Slate - King Of The Cobweb - Julien Macdonald;https://ichef.bbci.co.uk/images/ic/1200x675/p026txx9.jpg;Julien Macdonald's 1997 London Fashion Week collection. (1998);arts;29 mins;28 Jan 1998
World of Difference - The Models;https://ichef.bbci.co.uk/images/ic/1200x675/p026vl1q.jpg;What was it like to be a top fashion model 30 years ago? (1978);arts;25 mins;12 Jan 1978
Going to Work - The Rag Trade;https://ichef.bbci.co.uk/images/ic/1200x675/p026txxd.jpg;Film about the fashion industry in the 60s. (1966);arts;19 mins;21 Nov 1966
The Bronte Business;https://ichef.bbci.co.uk/images/ic/1200x675/p028shsc.jpg;Joan Bakewell visits Haworth in Yorkshire, home of the Brontes. (1977);arts;25 mins;4 Sep 1977
Julian Bream Masterclass - 5. Julian Bream Festival;https://ichef.bbci.co.uk/images/ic/1200x675/p01lb5zk.jpg;A recital of guitar music by Julian Bream at Old Wardour Castle. (1978);arts;50 mins;1 Feb 1978
Beardsley and his Work;https://ichef.bbci.co.uk/images/ic/1200x675/p02tgncm.jpg;Aubrey Beardsley's drawings still retain their power to amuse and to shock. (1982);arts;50 mins;19 Jan 1982
Francis Bacon: Fragments Of A Portrait;https://ichef.bbci.co.uk/images/ic/1200x675/p02tk9gm.jpg;A film study of Francis Bacon's paintings, which have been called sick and corrupt. (1966);arts;44 mins;18 Sep 1966
